;address;latitude;longitude;name;number;cluster
0;Lower River Tce / Ellis St;-27.482279;153.028723;122 - LOWER RIVER TCE / ELLIS ST;122;1
1;Main St / Darragh St;-27.47059;153.036046;91 - MAIN ST / DARRAGH ST;91;2
2;Sydney St Ferry Terminal / Park;-27.474531;153.042728;88 - SYDNEY ST FERRY TERMINAL / PARK;88;4
3;Browne St / James St;-27.461880999999998;153.046986;75 - BROWNE ST / JAMES ST;75;4
4;Kurilpa Point / Montague Rd;-27.469658;153.016696;98 - KURILPA POINT / MONTAGUE RD;98;5
5;Montague Rd / Skinner St;-27.48172;153.00436;109 - MONTAGUE RD / SKINNER ST;109;3
6;Macquarie St / Guyatt Park;-27.493626;153.001482;149 - MACQUARIE ST / GUYATT PARK;149;3
7;Bi-centennial Bike Way / Lang Pde;-27.476076;153.002459;139 - BI-CENTENNIAL BIKE WAY / LANG PDE;139;5
8;Sir William McGregor Dr / Sir Fred Schonnell;-27.493963;153.011938;24 - SIR WILLIAM MCGREGOR DR / SIR FRED SCHONNELL;24;3
9;Vulture St / Tribune St;-27.482197;153.020894;117 - VULTURE ST / TRIBUNE ST;117;1
10;Lamington St / Refinery Pde;-27.465226;153.050864;73 - LAMINGTON ST / REFINERY PDE;73;4
11;King George Square 2;-27.468447;153.024662;1101 - KING GEORGE SQUARE 2;1101;2
12;Mary St / George St;-27.473021;153.025988;23 - MARY STREET / GEORGE STREET;23;2
13;McLachlan St / Winn St;-27.457825;153.036866;54 - MCLACHLAN ST / WINN ST;54;0
14;Grey St / QCA;-27.48148;153.02368;93 - GREY ST / QCA;93;1
15;Roma St / Turbot St;-27.467464;153.022094;31 - ROMA ST / TURBOT ST;31;2
16;Thynne Rd / College Rd;-27.499963;153.017633;97 - THYNNE RD / COLLEGE RD;97;1
17;Sandford St / Brisbane St;-27.490776;152.994747;147 - SANDFORD ST / BRISBANE ST;147;3
18;James St / Harcourt St;-27.458199;153.041688;77 - JAMES ST / HARCOURT ST;77;0
19;Sidon St / Little Stanley St;-27.481808;153.025477;119 - SIDON ST / LITTLE STANLEY ST;119;1
20;Commercial Rd / Teneriffe Ferry Terminal;-27.452027;153.04911;67 - COMMERCIAL RD / TENERIFFE FERRY TERMINAL;67;0
21;Turbot St / Wickham Tce;-27.464628;153.026863;39 - TURBOT ST / WICKHAM TCE;39;2
22;Alden St / Wickham St;-27.456085;153.03453;55 - ALDEN ST / WICKHAM ST;55;0
23;Roma St / Makerston St;-27.46637;153.018506;35 - ROMA STREET / MAKERSTON STREET;35;2
24;Macquarie St / Munro St;-27.492876;153.006071;150 - MACQUARIE ST / MUNRO ST;150;3
25;Barker St / Brunswick St;-27.464681;153.042561;80 - BARKER ST / BRUNSWICK ST;80;4
26;Malt St / Brunswick St;-27.461041;153.037902;78 - MALT ST / BRUNSWICK ST;78;0
27;Chermside St / Commercial Rd;-27.454482;153.046802;65 - CHERMSIDE ST / COMMERCIAL RD;65;0
28;Queen St / Adelaide St;-27.463405;153.031142;44 - QUEEN STREET / ADELAIDE STREET;44;2
29;Constance St / St Pauls Tce;-27.453717;153.034042;56 - CONSTANCE ST / ST PAULS TCE;56;0
30;Gipps St / Wickham St;-27.458641;153.03208;50 - GIPPS ST / WICKHAM ST;50;0
31;Stanley St / Melbourne St;-27.475039;153.020323;95 - STANLEY ST / MELBOURNE ST;95;2
32;Coronation Dr / Go Between Bridge;-27.468839;153.011115;133 - CORONATION DR / GO BETWEEN BRIDGE;133;5
33;Vernon Tce / Ethel St;-27.454394;153.049519;68 - VERNON TCE / ETHEL ST;68;0
34;Railway Tce / Cribb St;-27.468845;153.007364;134 - RAILWAY TCE / CRIBB ST;134;5
35;Brunswick St Mall / Wickham St;-27.457512;153.033841;52 - BRUNSWICK ST MALL / WICKHAM ST;52;0
36;Turbot St / Barry Pde;-27.46123;153.031077;47 - TURBOT ST / BARRY PDE;47;2
37;Dunmore Tce / Kingsford St;-27.476003;153.000676;140 - DUNMORE TCE / KINGSFORD ST;140;5
38;Mary St / Albert St;-27.472044;153.027193;16 - MARY STREET / ALBERT STREET;16;2
39;James St / McLachlan St;-27.456276;153.039196;59 - JAMES ST / MCLACHLAN ST;59;0
40;Little Stanley St / Tribune St;-27.480385;153.023564;18 - LITTLE STANLEY ST / TRIBUNE ST;18;1
41;Queen St / Wharf St;-27.465043;153.030991;43 - QUEEN ST / WHARF ST;43;2
42;Charlotte St / Edward St;-27.469924;153.02822;9 - CHARLOTTE STREET / EDWARD STREET;9;2
43;Market St / Mary St;-27.469702;153.029828;5 - MARKET STREET / MARY STREET;5;2
44;Charlotte St / Eagle St;-27.468675;153.029834;4 - CHARLOTTE STREET / EAGLE STREET;4;2
45;King George Square / Ann St;-27.468422;153.024635;11 - KING GEORGE SQUARE / ANN ST;11;2
46;Oxlade Dr / Turner Ave;-27.473304;153.048757;85 - OXLADE DR / TURNER AVE;85;4
47;Roy St / Lang Pde;-27.473888;153.000599;138 - ROY ST / LANG PDE;138;5
48;Regatta Ferry Terminal / Sylvan Rd;-27.483168;152.996419;143 - REGATTA FERRY TERMINAL / SYLVAN RD;143;3
49;Lamington St / Powerhouse;-27.467802;153.053645;72 - LAMINGTON ST / POWERHOUSE;72;4
50;Coronation Dr / Archer St;-27.485872;152.99347;145 - CORONATION DR / ARCHER ST;145;3
51;VULTURE ST / STANLEY ST;-27.483259;153.026946;121 - VULTURE ST / STANLEY ST;121;1
52;Ann St / Creek St;-27.464986;153.027679;40 - ANN STREET / CREEK STREET;40;2
53;Blair Dr / Sir William McGregor Dr;-27.494561;153.016318;27 - BLAIR DR / SIR WILLIAM MACGREGOR DR;27;1
54;Park Rd / Douglas St;-27.470987;153.004602;136 - PARK RD / DOUGLAS ST;136;5
55;Ann St / Gipps St;-27.459833;153.033445;49 - ANN STREET / GIPPS STREET;49;0
56;Botanical Gardens / QUT;-27.475922;153.0288;21 - BOTANICAL GARDENS / QUT;21;2
57;George St / Ann St;-27.469075;153.021808;29 - GEORGE STREET / ANN STREET;29;2
58;Ann St / Murri Way;-27.452468;153.040565;63 - ANN ST / MURRI WAY;63;0
59;North Quay /Reddacliff Place;-27.471297;153.02257;26 - NORTH QUAY / REDDACLIFF PLACE;26;2
60;Brunswick St / Merthyr Rd;-27.467498;153.0467;82 - BRUNSWICK ST / MERTHYR RD;82;4
61;Merthyr Rd / James St;-27.463678;153.049485;74 - MERTHYR RD / JAMES ST;74;4
62;Albert St Mall / Elizabeth St;-27.47019;153.025852;15 - ALBERT STREET MALL / ELIZABETH STREET;15;2
63;Land St / Coronation Dr;-27.479453;152.997215;141 - LAND ST / CORONATION DR;141;3
64;O'Connell St / Lambert St;-27.474992;153.037647;130 - O'CONNELL ST / LAMBERT ST;130;4
65;Ann St / Gotha St;-27.46048;153.032768;48 - ANN ST / GOTHA ST;48;0
66;Bowen Tce / Bradfield Hwy;-27.461803;153.036021;53 - BOWEN TCE / BRADFIELD HWY;53;0
67;Annerley Rd / Boggo Rd;-27.494959;153.02802;125 - ANNERLEY RD / BOGGO RD;125;1
68;Macquarie St / Beeston St;-27.459091;153.050239;70 - MACQUARIE ST / BEESTON ST;70;4
